#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  3.9583E-01  1.4559E+00  2.3820E+00  2.2860E+00  2.0246E+00  1.8364E+00  1.2108E+00  4.6984E-01  6.5726E-02	  0.39583333333333331        1.4482460219669360        2.4149100571769355        2.4816310187241357        2.2843539457461235        1.8363224630913138        1.2854726136536772       0.90816404347345903       0.46413267246083179     
  4.0625E-01  1.4692E+00  2.9927E+00  3.0089E+00  2.8304E+00  2.6291E+00  1.1516E+00  5.6900E-01  1.8652E-01	  0.40625000000000000        1.4619243941888633        2.9266744831919378        3.0710203075632831        3.0179212575124250        2.6292798920403220        1.2518389557062348       0.95034984755079865       0.54552751220423390     
  4.1667E-01  1.4832E+00  3.5177E+00  3.5908E+00  3.5198E+00  3.3389E+00  1.0558E+00  6.2021E-01  2.6005E-01	  0.41666666666666663        1.4741987147722149        3.3808821607235937        3.5740533237213938        3.6133906772634301        3.3387681181455839        1.1795589076898934       0.93177616074785652       0.58175307235780416     
  4.2708E-01  1.4935E+00  3.9559E+00  4.0886E+00  4.0828E+00  3.9646E+00  9.6202E-01  6.1108E-01  3.0756E-01	  0.42708333333333331        1.4850575282666163        3.7744299563554939        4.0023992769649803        4.1061598861518345        3.9647871408099640        1.0786562710849106       0.87367290635622030       0.57987225946632925     
  4.3750E-01  1.5046E+00  4.3306E+00  4.4986E+00  4.5579E+00  4.5076E+00  8.4654E-01  5.7620E-01  3.1569E-01	  0.43750000000000000        1.4944904540616977        4.1087475414098806        4.3636772993845749        4.5150497565463166        4.5073369597085993       0.95638361119087567       0.78810093991953667       0.54701792704770469     
  4.4792E-01  1.5119E+00  4.6373E+00  4.8419E+00  4.9413E+00  4.9661E+00  7.2606E-01  5.1033E-01  3.0221E-01	  0.44791666666666663        1.5024882854651542        4.3864754705621678        4.6630348116634996        4.8506469308483400        4.9664175747994017       0.81801562622012347       0.68253319492162534       0.48953205592453120     
  4.5833E-01  1.5199E+00  4.8879E+00  5.1139E+00  5.2519E+00  5.3423E+00  5.9120E-01  4.2986E-01  2.6396E-01	  0.45833333333333331        1.5090430776988129        4.6102127575907215        4.9040485186165101        5.1192850569536184        5.3420289862856407       0.66751551759230132       0.56208234152520664       0.41285529035691609     
  4.6875E-01  1.5242E+00  5.0780E+00  5.3258E+00  5.4856E+00  5.6339E+00  4.5153E-01  3.3262E-01  2.1226E-01	  0.46875000000000000        1.5141482239350690        4.7821114320492208        5.0892391395552909        5.3249603231298455        5.6341711945396415       0.50800810073008162       0.43060706744786215       0.32166034318894149     
  4.7917E-01  1.5291E+00  5.2151E+00  5.4730E+00  5.6534E+00  5.8432E+00  3.0367E-01  2.2761E-01  1.4715E-01	  0.47916666666666663        1.5177985186039051        4.9037932997061153        5.2203663918852730        5.4702629321748919        5.8428442000047092       0.34209446292775442       0.29127825707399624       0.22003821995397491     
  4.8958E-01  1.5304E+00  5.2949E+00  5.5632E+00  5.7508E+00  5.9677E+00  1.5317E-01  1.1503E-01  7.5695E-02	  0.48958333333333331        1.5199902073245661        4.9763718103351131        5.2985976449078125        5.5568347220368794        5.9680480030909315       0.17205761705229156       0.14688283176308203       0.11167421118245446     
  5.0000E-01  1.5322E+00  5.3231E+00  5.5913E+00  5.7851E+00  6.0101E+00  1.4725E-08 -3.0288E-09 -1.0734E-08	  0.50000000000000000        1.5207210229464643        5.0004939921322560        5.3246019895841608        5.5855933214205731        6.0097826040854523        4.7855858791469799E-014   1.5313441138208493E-014   2.1791432117239405E-014
  5.1042E-01  1.5304E+00  5.2949E+00  5.5632E+00  5.7508E+00  5.9677E+00 -1.5317E-01 -1.1503E-01 -7.5695E-02	  0.51041666666666663        1.5199902073245950        4.9763718103351193        5.2985976449077388        5.5568347220369496        5.9680480030910283      -0.17205761705230962      -0.14688283176310959      -0.11167421118252090     
  5.2083E-01  1.5291E+00  5.2151E+00  5.4730E+00  5.6534E+00  5.8432E+00 -3.0367E-01 -2.2761E-01 -1.4715E-01	  0.52083333333333326        1.5177985186038967        4.9037932997061198        5.2203663918852543        5.4702629321749425        5.8428442000047696      -0.34209446292780393      -0.29127825707402444      -0.22003821995390233     
  5.3125E-01  1.5242E+00  5.0780E+00  5.3258E+00  5.4856E+00  5.6339E+00 -4.5153E-01 -3.3262E-01 -2.1226E-01	  0.53125000000000000        1.5141482239350987        4.7821114320491782        5.0892391395553265        5.3249603231298304        5.6341711945397037      -0.50800810073008029      -0.43060706744783361      -0.32166034318900949     
  5.4167E-01  1.5199E+00  4.8879E+00  5.1139E+00  5.2519E+00  5.3423E+00 -5.9120E-01 -4.2986E-01 -2.6396E-01	  0.54166666666666663        1.5090430776988188        4.6102127575906557        4.9040485186165208        5.1192850569535908        5.3420289862856221      -0.66751551759220673      -0.56208234152520908      -0.41285529035693935     
  5.5208E-01  1.5119E+00  4.6373E+00  4.8419E+00  4.9413E+00  4.9661E+00 -7.2606E-01 -5.1033E-01 -3.0221E-01	  0.55208333333333326        1.5024882854650816        4.3864754705621358        4.6630348116634739        4.8506469308482902        4.9664175747994319      -0.81801562622020385      -0.68253319492166042      -0.48953205592458660     
